[ 2024-11-17 15:05:49,200 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2024-11-17 15:05:49,214 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-11-17 15:05:50,470 ] 29 root - INFO - read the data
[ 2024-11-17 15:05:50,474 ] 32 root - INFO - create a directory
[ 2024-11-17 15:05:50,478 ] 36 root - INFO - split the train and test data
[ 2024-11-17 15:05:50,480 ] 39 root - INFO - passed the train data to the particular train path
[ 2024-11-17 15:05:50,480 ] 42 root - INFO - passed the test data to the particular test path
[ 2024-11-17 15:05:50,483 ] 45 root - INFO - return the train and test data for the next preocess
[ 2024-11-17 15:05:50,484 ] 98 root - INFO - Creating preprocessor object
[ 2024-11-17 15:05:50,484 ] 104 root - INFO - Separating input features and target column
[ 2024-11-17 15:05:50,486 ] 111 root - INFO - Applying preprocessor to train and test data
[ 2024-11-17 15:05:50,490 ] 115 root - INFO - Combining transformed data with target
[ 2024-11-17 15:05:50,490 ] 119 root - INFO - Saving the preprocessor object
